game_id,board_nr,player1,player2,starting_player,winner,repetition,n_moves,player1_avg_n_nodes,player2_avg_n_nodes,player1_avg_n_iter,player2_avg_n_iter,sudden_win_found,avg_depth,max_depth,min_depth,avg_n_entries_tptable
0,4,AB,MCTS,1,1,0,55,562707.6521739131,7418.5,0.0,35561.416666666664,False,2360.9565217391305,43360,5,38264.260869565216
1,4,AB,MCTS,2,2,0,30,458882.0909090909,8313.09090909091,0.0,15787.727272727272,False,7.090909090909091,16,5,35014.545454545456
2,4,AB,MCTS,1,1,1,57,551102.3333333334,7729.8,0.0,40362.16,False,2745.8333333333335,54301,5,41683.958333333336
3,4,AB,MCTS,2,1,1,60,597884.9230769231,8767.461538461539,0.0,67349.73076923077,False,5410.192307692308,105077,5,30830.19230769231
4,4,AB,MCTS,1,1,2,57,568853.5,11353.6,0.0,39877.08,False,1596.9583333333333,29439,5,43563.833333333336
5,4,AB,MCTS,2,1,2,58,603962.6,8239.12,0.0,48366.08,False,3087.16,62234,5,31876.96
6,4,AB,MCTS,1,1,3,59,620767.04,8345.576923076924,0.0,57033.230769230766,False,4265.12,79334,6,35538.16
7,4,AB,MCTS,2,0.5,3,61,560637.8148148148,7759.2692307692305,0.0,42942.807692307695,False,21500.962962962964,454695,5,33954.88888888889
8,4,AB,MCTS,1,1,4,57,552089.0,8258.0,0.0,38407.72,False,1073.9166666666667,18439,5,40777.833333333336
9,4,AB,MCTS,2,2,4,34,509583.8461538461,8703.076923076924,0.0,16984.076923076922,False,21.076923076923077,190,5,32928.38461538462
10,4,AB,MCTS,1,1,5,59,590265.24,8100.307692307692,0.0,54637.57692307692,False,4173.64,79492,5,33568.48
11,4,AB,MCTS,2,2,5,59,635041.3076923077,7630.16,0.0,35681.04,False,14032.26923076923,287366,5,33486.307692307695
12,4,AB,MCTS,1,1,6,57,581688.2916666666,7998.92,0.0,41912.48,False,2689.2083333333335,51011,5,39226.333333333336
13,4,AB,MCTS,2,2,6,59,606507.1538461539,7482.4,0.0,35026.52,False,14153.346153846154,289281,5,34434.730769230766
14,4,AB,MCTS,1,1,7,55,579150.2173913043,7472.291666666667,0.0,32947.583333333336,False,1897.9130434782608,37601,5,43656.47826086957
15,4,AB,MCTS,2,2,7,30,497296.1818181818,8622.818181818182,0.0,16932.909090909092,False,9.545454545454545,43,5,29213.727272727272
16,4,AB,MCTS,1,1,8,61,594369.8076923077,9168.888888888889,0.0,76619.85185185185,False,10373.5,219309,5,36914.5
17,4,AB,MCTS,2,0.5,8,61,589373.5185185185,7769.0,0.0,43984.5,False,21090.555555555555,455391,5,29624.222222222223
18,4,AB,MCTS,1,1,9,57,561283.4583333334,8241.12,0.0,39548.4,False,2539.0,49387,4,38059.583333333336
19,4,AB,MCTS,2,2,9,30,483387.63636363635,9081.818181818182,0.0,17020.909090909092,False,8.727272727272727,37,5,30457.090909090908
20,4,AB,MCTS,1,1,10,59,562793.84,8552.307692307691,0.0,49619.769230769234,False,3960.32,77464,5,41036.04
21,4,AB,MCTS,2,2,10,61,618089.7407407408,8015.153846153846,0.0,51325.807692307695,False,22491.37037037037,460521,5,31303.74074074074
22,4,AB,MCTS,1,2,11,29,461020.0,10232.90909090909,0.0,18515.81818181818,False,6.5,9,5,42828.9
23,4,AB,MCTS,2,1,11,31,496947.75,10602.545454545454,0.0,12486.09090909091,False,6.666666666666667,13,5,34545.75
24,4,AB,MCTS,1,2,12,25,450287.625,10574.555555555555,0.0,19391.333333333332,False,5.625,9,4,31701.625
25,4,AB,MCTS,2,2,12,34,511389.07692307694,9071.461538461539,0.0,18907.76923076923,False,9.0,35,5,36796.61538461538
26,4,AB,MCTS,1,1,13,57,575632.7083333334,9754.72,0.0,39838.32,False,1384.5,25753,5,38699.0
27,4,AB,MCTS,2,1,13,60,559197.6538461539,7914.038461538462,0.0,67632.19230769231,False,5427.692307692308,105544,5,36827.346153846156
28,4,AB,MCTS,1,1,14,57,568982.5833333334,8659.96,0.0,41211.52,False,2460.75,51268,5,41685.25
29,4,AB,MCTS,2,2,14,30,493043.36363636365,9375.818181818182,0.0,17628.090909090908,False,8.727272727272727,37,5,31015.909090909092
30,4,AB,MCTS,1,1,15,57,553338.5,9910.36,0.0,41529.0,False,1777.0,33119,5,40376.333333333336
31,4,AB,MCTS,2,1,15,33,504413.8461538461,11193.583333333334,0.0,15011.916666666666,False,7.461538461538462,24,5,32706.76923076923
32,4,AB,MCTS,1,1,16,55,563567.0,8393.375,0.0,36466.333333333336,False,2122.608695652174,40847,4,36470.65217391304
33,4,AB,MCTS,2,2,16,59,637328.7307692308,8710.6,0.0,37120.08,False,14130.538461538461,286647,5,32834.769230769234
34,4,AB,MCTS,1,1,17,57,570137.125,11341.48,0.0,44273.4,False,2774.4166666666665,57565,5,43702.625
35,4,AB,MCTS,2,2,17,28,506424.6,8575.8,0.0,16939.6,False,11.9,61,5,30949.0
36,4,AB,MCTS,1,1,18,57,575970.875,8491.96,0.0,46730.32,False,2688.4583333333335,51034,4,38143.416666666664
37,4,AB,MCTS,2,0.5,18,61,577493.1481481482,8776.384615384615,0.0,43923.38461538462,False,21206.814814814814,455184,5,34959.81481481482
38,4,AB,MCTS,1,1,19,57,611705.875,8821.2,0.0,47584.08,False,2901.0,51205,5,35115.5
39,4,AB,MCTS,2,2,19,61,575362.9629629629,6896.807692307692,0.0,48193.846153846156,False,22115.037037037036,457772,5,36630.22222222222
40,4,AB,MCTS,1,1,20,59,578990.2,9305.384615384615,0.0,52802.96153846154,False,4518.12,90827,5,35435.6
41,4,AB,MCTS,2,1,20,60,595255.0,8093.192307692308,0.0,63740.153846153844,False,8855.076923076924,170045,5,34124.230769230766
42,4,AB,MCTS,1,1,21,53,558625.5,7638.0,0.0,31545.478260869564,False,1533.2727272727273,29417,5,43877.27272727273
43,4,AB,MCTS,2,2,21,61,610087.3333333334,8601.923076923076,0.0,50106.42307692308,False,22449.11111111111,460096,5,31838.185185185186
44,4,AB,MCTS,1,1,22,38,520443.4,10200.8,0.0,14352.133333333333,False,9.2,44,4,32352.6
45,4,AB,MCTS,2,2,22,28,515320.0,8861.9,0.0,18544.5,False,8.4,27,5,29330.5
46,4,AB,MCTS,1,1,23,59,597885.8,8452.26923076923,0.0,56181.88461538462,False,4093.68,77809,5,39118.88
47,4,AB,MCTS,2,2,23,30,474000.2727272727,8437.363636363636,0.0,16750.636363636364,False,6.818181818181818,16,5,33940.36363636364
48,4,AB,MCTS,1,1,24,57,619060.25,10221.0,0.0,43516.36,False,3558.1666666666665,72482,5,39148.208333333336
49,4,AB,MCTS,2,2,24,59,584025.5,7465.28,0.0,31076.12,False,13694.346153846154,287409,5,34998.346153846156
50,4,AB,MCTS-AB,1,1,0,57,630559.7083333334,8397.56,0.0,41294.4,False,3312.4166666666665,60645,5,33846.208333333336
51,4,AB,MCTS-AB,2,1,0,60,599461.4230769231,8394.73076923077,0.0,59931.846153846156,False,8824.461538461539,169157,5,33686.769230769234
52,4,AB,MCTS-AB,1,1,1,59,591369.92,7558.653846153846,0.0,55029.03846153846,False,4256.88,75786,5,37446.4
53,4,AB,MCTS-AB,2,1,1,29,474251.54545454547,10144.4,0.0,12533.0,False,6.090909090909091,10,5,34874.72727272727
54,4,AB,MCTS-AB,1,1,2,57,566825.625,8294.92,0.0,37784.2,False,1127.875,20249,5,40790.083333333336
55,4,AB,MCTS-AB,2,1,2,60,573793.5,8455.538461538461,0.0,59002.5,False,4814.346153846154,99135,5,34977.846153846156
56,4,AB,MCTS-AB,1,1,3,57,609705.6666666666,9099.6,0.0,44474.2,False,2879.3333333333335,48660,5,38653.791666666664
57,4,AB,MCTS-AB,2,1,3,56,571083.5416666666,7497.833333333333,0.0,37152.208333333336,False,2655.2083333333335,50801,5,36487.041666666664
58,4,AB,MCTS-AB,1,1,4,57,575426.2916666666,7988.72,0.0,41356.0,False,2738.5,50134,5,36856.291666666664
59,4,AB,MCTS-AB,2,2,4,32,511724.0,10458.3,0.0,10902.2,True,10.0,47,5,35942.333333333336
60,4,AB,MCTS-AB,1,1,5,55,578024.6086956522,7413.458333333333,0.0,32366.541666666668,False,894.4347826086956,15477,5,38764.913043478264
61,4,AB,MCTS-AB,2,1,5,25,448530.1111111111,10232.375,0.0,12538.0,False,5.777777777777778,8,5,33634.444444444445
62,4,AB,MCTS-AB,1,1,6,57,565369.8333333334,8696.56,0.0,43190.28,False,2551.1666666666665,49430,5,38205.458333333336
63,4,AB,MCTS-AB,2,1,6,41,535302.9411764706,8808.375,0.0,12451.3125,False,18.11764705882353,194,5,33852.94117647059
64,4,AB,MCTS-AB,1,2,7,27,462249.6666666667,10175.5,0.0,10800.75,True,6.444444444444445,9,5,39687.666666666664
65,4,AB,MCTS-AB,2,0.5,7,61,577276.5185185185,8327.26923076923,0.0,42052.153846153844,False,21393.333333333332,459861,5,33423.851851851854
66,4,AB,MCTS-AB,1,1,8,59,614410.2,7260.7692307692305,0.0,51946.807692307695,False,4810.92,90146,5,36517.6
67,4,AB,MCTS-AB,2,2,8,36,514700.21428571426,9408.583333333334,0.0,9850.0,True,97.92857142857143,1176,5,27798.0
68,4,AB,MCTS-AB,1,1,9,55,574429.7826086957,7677.041666666667,0.0,30204.208333333332,False,585.695652173913,10851,4,39747.391304347824
69,4,AB,MCTS-AB,2,0.5,9,61,592561.4814814815,7281.615384615385,0.0,41261.07692307692,False,21395.925925925927,458951,5,32088.14814814815
70,4,AB,MCTS-AB,1,1,10,57,584644.7083333334,6867.12,0.0,38227.64,False,2611.0416666666665,50741,5,37824.625
71,4,AB,MCTS-AB,2,0.5,10,61,569316.5555555555,9457.26923076923,0.0,43006.42307692308,False,20529.11111111111,450474,5,34536.40740740741
72,4,AB,MCTS-AB,1,1,11,55,590729.7391304348,7504.5,0.0,37357.416666666664,False,2112.913043478261,39064,4,37704.13043478261
73,4,AB,MCTS-AB,2,1,11,60,564179.5,7745.0,0.0,60370.0,False,6505.307692307692,125221,5,36790.653846153844
74,4,AB,MCTS-AB,1,1,12,61,581254.3076923077,8758.555555555555,0.0,78087.03703703704,False,8097.423076923077,154903,5,35667.307692307695
75,4,AB,MCTS-AB,2,1,12,31,480173.8333333333,11363.0,0.0,13836.09090909091,False,6.5,10,5,34709.833333333336
76,4,AB,MCTS-AB,1,1,13,57,581072.625,7685.32,0.0,41217.56,False,2516.2916666666665,50356,5,39188.791666666664
77,4,AB,MCTS-AB,2,2,13,61,595052.6666666666,8981.791666666666,0.0,23194.916666666668,True,22351.703703703704,461046,5,32414.51851851852
78,4,AB,MCTS-AB,1,1,14,57,560287.5833333334,7329.88,0.0,40763.72,False,2471.6666666666665,48478,5,40850.291666666664
79,4,AB,MCTS-AB,2,2,14,61,590994.925925926,8039.791666666667,0.0,22835.291666666668,True,21993.14814814815,455736,5,34537.333333333336
80,4,AB,MCTS-AB,1,1,15,16,502882.0,10582.5,0.0,11341.0,False,1489.75,5931,6,32972.5
81,4,AB,MCTS-AB,2,2,15,59,614002.8461538461,8617.565217391304,0.0,17678.347826086956,True,14218.76923076923,282988,5,34516.192307692305
82,4,AB,MCTS-AB,1,1,16,59,573449.36,7257.538461538462,0.0,51106.846153846156,False,3980.92,76615,5,38739.52
83,4,AB,MCTS-AB,2,2,16,30,469311.1818181818,8695.333333333334,0.0,8914.0,True,7.0,16,5,34920.0
84,4,AB,MCTS-AB,1,1,17,55,569454.9565217391,8164.25,0.0,33654.5,False,807.9565217391304,12042,4,37892.65217391304
85,4,AB,MCTS-AB,2,2,17,30,468275.2727272727,8600.222222222223,0.0,8828.111111111111,True,7.181818181818182,16,5,36628.72727272727
86,4,AB,MCTS-AB,1,2,18,51,559172.2380952381,9873.15,0.0,11068.1,True,178.52380952380952,2832,5,38947.76190476191
87,4,AB,MCTS-AB,2,1,18,29,492839.54545454547,10446.1,0.0,12737.2,False,6.545454545454546,14,5,32859.545454545456
88,4,AB,MCTS-AB,1,1,19,55,585866.2173913043,7132.208333333333,0.0,34065.166666666664,False,1888.5652173913043,36155,5,38624.739130434784
89,4,AB,MCTS-AB,2,2,19,30,493391.9090909091,9103.666666666666,0.0,9590.333333333334,True,8.727272727272727,37,5,32587.81818181818
90,4,AB,MCTS-AB,1,1,20,57,583367.2916666666,6952.64,0.0,36419.24,False,2556.6666666666665,55276,4,38360.666666666664
91,4,AB,MCTS-AB,2,2,20,59,608371.1153846154,8146.521739130435,0.0,17979.739130434784,True,13823.692307692309,284953,5,35371.61538461538
92,4,AB,MCTS-AB,1,1,21,59,590444.44,8496.5,0.0,54869.192307692305,False,3960.2,76368,5,38893.8
93,4,AB,MCTS-AB,2,0.5,21,61,568486.8148148148,7187.576923076923,0.0,41566.346153846156,False,21271.85185185185,460350,5,36887.333333333336
94,4,AB,MCTS-AB,1,1,22,55,563197.3478260869,8162.125,0.0,32958.958333333336,False,2384.695652173913,39388,4,33853.0
95,4,AB,MCTS-AB,2,2,22,34,495519.3076923077,8681.454545454546,0.0,9029.90909090909,True,7.846153846153846,23,5,35775.46153846154
96,4,AB,MCTS-AB,1,1,23,57,569703.75,7331.68,0.0,43318.84,False,3151.875,49887,5,36205.166666666664
97,4,AB,MCTS-AB,2,0.5,23,61,570442.5555555555,8277.038461538461,0.0,41715.57692307692,False,21129.37037037037,453298,5,30142.48148148148
98,4,AB,MCTS-AB,1,2,24,33,481748.6666666667,9033.636363636364,0.0,9550.0,True,6.333333333333333,11,5,41865.083333333336
99,4,AB,MCTS-AB,2,2,24,30,512963.2727272727,8479.222222222223,0.0,8717.777777777777,True,8.545454545454545,28,5,34721.27272727273
100,4,AB,MCTS-PNS,1,1,0,53,550498.2272727273,8810.0,0.0,24622.217391304348,False,886.6818181818181,11143,5,36292.90909090909
101,4,AB,MCTS-PNS,2,2,0,59,621196.9615384615,8115.36,0.0,30293.8,False,13942.076923076924,286104,5,33947.38461538462
102,4,AB,MCTS-PNS,1,1,1,55,591078.6086956522,8515.916666666666,0.0,31105.125,False,2130.8695652173915,40259,5,38456.260869565216
103,4,AB,MCTS-PNS,2,2,1,28,481275.0,7892.7,0.0,14331.4,False,7.8,18,5,34018.6
104,4,AB,MCTS-PNS,1,1,2,57,568360.5833333334,7661.28,0.0,35557.84,False,2628.9166666666665,51009,5,40849.625
105,4,AB,MCTS-PNS,2,1,2,58,579706.24,7817.68,0.0,36693.88,False,3478.4,60832,5,34665.04
106,4,AB,MCTS-PNS,1,1,3,52,567820.8181818182,8618.045454545454,0.0,18944.772727272728,False,1336.2272727272727,22473,5,34324.818181818184
107,4,AB,MCTS-PNS,2,2,3,59,603986.0384615385,6856.48,0.0,26436.48,False,13636.423076923076,276541,5,33657.42307692308
108,4,AB,MCTS-PNS,1,1,4,55,553447.5217391305,7643.0,0.0,23938.916666666668,False,1132.0434782608695,17425,4,39230.17391304348
109,4,AB,MCTS-PNS,2,2,4,59,625034.0384615385,6649.4,0.0,29390.04,False,14123.346153846154,287091,5,30543.115384615383
110,4,AB,MCTS-PNS,1,1,5,61,578564.8846153846,8765.0,0.0,59021.92592592593,False,10579.115384615385,219152,5,39030.769230769234
111,4,AB,MCTS-PNS,2,0.5,5,61,610193.6296296297,7559.192307692308,0.0,34605.57692307692,False,21439.51851851852,457777,5,32570.703703703704
112,4,AB,MCTS-PNS,1,1,6,34,492723.3076923077,9091.461538461539,0.0,10635.307692307691,False,7.846153846153846,29,5,37059.0
113,4,AB,MCTS-PNS,2,2,6,61,625241.7037037037,7184.2307692307695,0.0,39654.92307692308,False,22609.0,460618,5,31099.37037037037
114,4,AB,MCTS-PNS,1,1,7,57,564607.0,8753.4,0.0,32716.68,False,2440.8333333333335,50732,4,37834.166666666664
115,4,AB,MCTS-PNS,2,2,7,61,574608.2962962963,7360.923076923077,0.0,38139.807692307695,False,22366.11111111111,464078,5,33273.11111111111
116,4,AB,MCTS-PNS,1,1,8,59,614599.76,7462.461538461538,0.0,43827.46153846154,False,4673.64,91281,4,34026.36
117,4,AB,MCTS-PNS,2,1,8,60,592879.7307692308,7768.884615384615,0.0,51121.46153846154,False,6545.538461538462,125369,5,36806.730769230766
118,4,AB,MCTS-PNS,1,1,9,55,539394.5652173914,7452.541666666667,0.0,27617.333333333332,False,1800.0869565217392,36786,4,41216.391304347824
119,4,AB,MCTS-PNS,2,2,9,59,599954.9230769231,7291.56,0.0,29398.0,False,13903.346153846154,284925,5,35088.42307692308
120,4,AB,MCTS-PNS,1,1,10,61,578177.0,7385.592592592592,0.0,60516.666666666664,False,8181.0,155966,5,39916.38461538462
121,4,AB,MCTS-PNS,2,1,10,58,579230.44,7952.36,0.0,33724.88,False,1798.36,32344,5,34665.76
122,4,AB,MCTS-PNS,1,1,11,53,566994.8636363636,7676.826086956522,0.0,25081.739130434784,False,1077.6363636363637,18803,5,35234.318181818184
123,4,AB,MCTS-PNS,2,2,11,61,587365.1481481482,7772.2692307692305,0.0,41498.42307692308,False,22367.25925925926,456139,4,32819.92592592593
124,4,AB,MCTS-PNS,1,1,12,59,571752.16,8055.884615384615,0.0,43064.92307692308,False,3920.76,77501,4,36856.24
125,4,AB,MCTS-PNS,2,0.5,12,61,553779.1111111111,8011.115384615385,0.0,33440.88461538462,False,21692.88888888889,450391,5,32267.666666666668
126,4,AB,MCTS-PNS,1,0.5,13,61,604981.3846153846,7393.074074074074,0.0,52327.148148148146,False,11098.384615384615,214220,5,31038.153846153848
127,4,AB,MCTS-PNS,2,2,13,61,599490.074074074,7515.538461538462,0.0,40385.153846153844,False,22174.962962962964,452822,5,30231.88888888889
128,4,AB,MCTS-PNS,1,1,14,55,578439.2173913043,7721.25,0.0,28396.333333333332,False,1918.0,36735,5,40849.782608695656
129,4,AB,MCTS-PNS,2,2,14,61,604687.0370370371,8439.884615384615,0.0,40913.307692307695,False,22470.962962962964,461426,5,34437.25925925926
130,4,AB,MCTS-PNS,1,1,15,55,568412.8695652174,7897.083333333333,0.0,27266.25,False,1912.5217391304348,37896,5,37148.65217391304
131,4,AB,MCTS-PNS,2,2,15,61,598448.5185185185,7705.5,0.0,40270.346153846156,False,22282.777777777777,459496,5,29766.59259259259
132,4,AB,MCTS-PNS,1,1,16,59,586232.36,7294.615384615385,0.0,44217.269230769234,False,4400.76,78513,4,35814.92
133,4,AB,MCTS-PNS,2,1,16,27,454455.3,9241.888888888889,0.0,11151.444444444445,False,6.0,8,5,33903.7
134,4,AB,MCTS-PNS,1,1,17,59,625137.04,7963.807692307692,0.0,44464.346153846156,False,4249.16,79930,5,34164.16
135,4,AB,MCTS-PNS,2,1,17,25,479726.3333333333,9414.25,0.0,11255.75,False,6.222222222222222,9,5,32822.333333333336
136,4,AB,MCTS-PNS,1,1,18,55,562985.7391304348,8034.166666666667,0.0,28728.833333333332,False,1982.3478260869565,39765,5,38881.608695652176
